代碼,商品,股本,產業,產業地位
2348,海悅,9.68,上市其他,台灣前二大房屋代銷業者
2349,錸德,69.37,"上市電子全部,上市光電",全球前三大光碟片製造商之一
2351,順德,18.21,"上市電子全部,上市半導體",全球前三大單體導線架廠之一
2352,佳世達,196.68,"上市電子全部,上市電腦及週邊設備",LCD顯示器及投影機大廠
2353,宏碁,304.79,"上市電子全部,上市電腦及週邊設備",全球前五大NB品牌廠
2354,鴻準,141.45,"上市電子全部,上市其他電子",鴻海旗下散熱模組及鋁鎂合金廠
2355,敬鵬,39.75,"上市電子全部,上市電子零組件",全球車用PCB龍頭廠商
2356,英業達,358.75,"上市電子全部,上市電腦及週邊設備",全球知名NB代工大廠
2357,華碩,74.28,"上市電子全部,上市電腦及週邊設備",全球最大自有品牌主機板廠，及前五大NB廠
2358,廷鑫,12.46,上市其他,轉型鋁合金產品製造廠
2359,所羅門,17.15,"上市電子全部,上市其他電子",台灣電子元件通路商，並切入自動化工業領域
2360,致茂,42.16,"上市電子全部,上市其他電子",全球知名的自動測試設備品牌大廠
2362,藍天,64.98,"上市電子全部,上市電腦及週邊設備",轉投資大陸最大IT賣場百腦匯
2363,矽統,63.10,"上市電子全部,上市半導體",轉型為觸控IC設計廠商
2364,倫飛,19.59,"上市電子全部,上市電腦及週邊設備",主攻軍工規格NB廠商
2365,昆盈,22.45,"上市電子全部,上市電腦及週邊設備",全球第二大滑鼠廠
2367,燿華,61.94,"上市電子全部,上市電子零組件",台灣前三大手機印刷電路板廠之一
2368,金像電,54.65,"上市電子全部,上市電子零組件",全球第二大NB用印刷電路板製造商
2369,菱生,38.01,"上市電子全部,上市半導體",客戶以類比IC為主的小型封裝廠
2371,大同,233.95,上市電機機械,台灣重電及家電大廠，並擁有土地資產
2373,震旦行,23.62,"上市電子全部,上市其他電子",台灣最大的辦公設備與辦公家俱通路商
2374,佳能,28.24,"上市電子全部,上市光電",台灣數位相機組裝大廠
2375,凱美,13.58,"上市電子全部,上市電子零組件",國巨旗下專業鋁質電容廠
2376,技嘉,63.57,"上市電子全部,上市電腦及週邊設備",全球前三大主機板廠
2377,微星,84.49,"上市電子全部,上市電腦及週邊設備",台灣知名主機板及電競筆電廠
2379,瑞昱,51.07,"上市電子全部,上市半導體",全球超高速乙太網路IC設計龍頭廠商
